"State","Death"
"West Virginia","1075.7"
"Missouri","1025.4"
"Mississippi","1020.2"
"Wisconsin","1005.3"
"Kansas","992.7"
"District of Columbia","991.1"
"Alabama","987.2"
"Louisiana","985.8"
"Arkansas","985.3"
"Tennessee","985.3"
"Oklahoma","984.4"
"Michigan","974"
"Indiana","960.3"
"Ohio","956.2"
"Illinois","951.9"
"Kentucky","938.8"
"South Carolina","936"
"Iowa","935.5"
"Nebraska","928.3"
"Pennsylvania","892.8"
"Texas","872.2"
"Nevada","871.6"
"North Carolina","860.3"
"Georgia","853.4"
"United States","852.9"
"Virginia","845"
"Montana","841.6"
"Oregon","827.7"
"Delaware","820.5"
"Maryland","817.9"
"California","812.7"
"New Jersey","799"
"New Mexico","780.7"
"Utah","761.7"
"Arizona","760.8"
"Colorado","746.8"
"Florida","738.2"
"Minnesota","730.5"
"Alaska","729"
"Washington","721.3"
"Connecticut","656.6"
"New York","646.3"
"South Dakota","631.3"
"Maine","603.7"
"Massachusetts","600.6"
"Wyoming","559.8"
"Rhode Island","551.8"
"Hawaii","514.2"
"Idaho","456"
"North Dakota","450.8"
"New Hampshire","446.5"
"Vermont","388.5"