"States","Death"
"District of Columbia","398"
"Hawaii","623.5"
"Minnesota","639.7"
"California","642.8"
"Alaska","643.8"
"New York","650.7"
"Florida","654.5"
"Connecticut","654.8"
"Colorado","655.8"
"Arizona","661.7"
"South Dakota","667.2"
"North Dakota","670.7"
"Washington","682.2"
"New Jersey","686.1"
"Montana","690.2"
"Massachusetts","693.8"
"Utah","694.6"
"Oregon","698.8"
"Illinois","699.7"
"Maryland","700.7"
"Virginia","704.7"
"Wisconsin","707.4"
"Rhode Island","710.6"
"Nebraska","712.3"
"Vermont","713.7"
"Iowa","722.4"
"New Hampshire","724.6"
"United States","725.4"
"Idaho","732.2"
"Texas","736"
"New Mexico","739"
"Wyoming","748.3"
"North Carolina","754.1"
"Pennsylvania","755.5"
"Maine","755.7"
"Delaware","756.7"
"Nevada","761.6"
"Michigan","763.2"
"Kansas","764.1"
"Georgia","782.1"
"South Carolina","793.4"
"Missouri","805.7"
"Indiana","828.3"
"Louisiana","830.8"
"Ohio","831.4"
"Arkansas","868.8"
"Tennessee","880.5"
"Oklahoma","881.6"
"Mississippi","891.5"
"Alabama","902.8"
"Kentucky","924.9"
"West Virginia","955.3"